Experiment,InceptionV3 HAM Macro Avg F1,InceptionV3 HAM Macro AUC,InceptionV3 HIBA Multiclass Macro Avg F1,InceptionV3 HIBA Multiclass Macro AUC,InceptionV3 HIBA Binary F1,InceptionV3 HIBA Binary AUC,InceptionV3 HIBA Binary FNR Difference,MobileNetV2 HAM Macro Avg F1,MobileNetV2 HAM Macro AUC,MobileNetV2 HIBA Multiclass Macro Avg F1,MobileNetV2 HIBA Multiclass Macro AUC,MobileNetV2 HIBA Binary F1,MobileNetV2 HIBA Binary AUC,MobileNetV2 HIBA Binary FNR Difference
1,0.517438,0.919500,0.225630,0.666760,0.423592,0.7329909256,0.047517,0.470059,0.906915,0.203529,0.620747,0.428682,0.5550497221,0.073964
2,0.681528,0.951291,0.307961,0.743708,0.446097,0.8511414952,0.132277,0.696992,0.957943,0.319103,0.786649,0.578073,0.8737446923,0.070746
3,0.324702,0.875874,0.097888,0.645090,0.101734,0.762105792,0.041452,0.492608,0.928101,0.155352,0.702958,0.199125,0.8154046701,0.061372
4,0.692249,0.955766,0.385702,0.819826,0.622332,0.8756854792,0.179037,0.677677,0.95673,0.354423,0.797026,0.577778,0.9015498722,0.182151
4,0.697114,0.960849,0.372669,0.809193,0.549088,0.9013338889,0.096498,0.69764,0.948875,0.337332,0.795208,0.509451,0.8928431379,0.059701
4,0.681324,0.959609,0.377251,0.795521,0.657813,0.8837611132,0.101947,0.704781,0.951904,0.347208,0.807598,0.527063,0.8935523599,0.096771
4,0.703968,0.962305,0.318382,0.771770,0.504924,0.88748338,0.132998,0.705092,0.963413,0.297156,0.778206,0.491387,0.8710839609,0.112455
5,0.703726,0.954430,0.320066,0.737710,0.522968,0.8743252434,0.026347,0.71364,0.959417,0.33855,0.800353,0.532866,0.8695797362,0.110659
5,0.706474,0.955899,0.326076,0.753776,0.556684,0.8853388641,0.177012,0.726425,0.961533,0.343835,0.772133,0.561224,0.8599263512,0.068022
5,0.667627,0.953453,0.318504,0.767275,0.541667,0.88497736,0.064347,0.692114,0.957447,0.330325,0.759769,0.512866,0.8506605109,0.049896
5,0.697481,0.949929,0.337754,0.784096,0.557265,0.8759229077,0.100857,0.665035,0.956745,0.284688,0.755837,0.357498,0.8696425398,0.037639
6,0.679371,0.950766,0.370307,0.770343,0.518428,0.8742195494,0.079413,0.647135,0.951045,0.316521,0.782244,0.460685,0.8705891904,0.008184
6,0.663488,0.947125,0.333806,0.755140,0.600000,0.8775328264,0.075277,0.661987,0.955886,0.317252,0.761141,0.564784,0.8331229665,0.175086
6,0.655400,0.938789,0.325829,0.761083,0.634769,0.8556970596,0.034247,0.677240,0.949141,0.331142,0.758255,0.491659,0.8010088415,0.111034
6,0.678832,0.947841,0.344152,0.767389,0.598071,0.8636287047,0.186961,0.6918,0.953937,0.321748,0.771059,0.542931,0.8725958445,0.067637
